"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 13, 2019","676","680","682","676","0.89K","-0.29%"
"Dec 12, 2019","678","682","684","676","0.82K","-0.59%"
"Dec 11, 2019","682","684","684","678","0.31K","-0.29%"
"Dec 10, 2019","684","682","686","680","0.69K","0.59%"
"Dec 09, 2019","680","680","688","680","0.97K","-1.16%"
"Dec 06, 2019","688","690","692","684","0.79K","-0.29%"
"Dec 05, 2019","690","690","690","684","0.46K","1.47%"
"Dec 04, 2019","680","678","688","678","0.99K","0.29%"
"Dec 03, 2019","678","680","684","678","0.78K","0.30%"
"Dec 02, 2019","676","688","690","676","1.66K","-1.46%"
"Nov 29, 2019","686","672","688","672","1.07K","1.78%"
"Nov 28, 2019","674","678","680","670","0.71K","0.30%"
"Nov 27, 2019","672","672","680","672","0.83K","0.00%"
"Nov 26, 2019","672","682","684","672","1.72K","-0.88%"
"Nov 25, 2019","678","678","684","678","1.26K","-0.88%"
"Nov 22, 2019","684","676","684","676","0.24K","0.88%"
"Nov 21, 2019","678","684","686","678","0.38K","-0.88%"
"Nov 20, 2019","684","680","690","680","1.27K","0.29%"
"Nov 19, 2019","682","676","686","676","0.30K","0.29%"
"Nov 18, 2019","680","688","690","678","0.75K","0.29%"
"Nov 15, 2019","678","678","688","678","0.37K","0.30%"
"Nov 14, 2019","676","682","682","676","0.50K","-0.88%"
"Nov 13, 2019","682","682","686","672","1.07K","-0.87%"
"Nov 12, 2019","688","684","690","684","0.35K","0.00%"
"Nov 11, 2019","688","682","688","680","0.48K","1.18%"
"Nov 08, 2019","680","688","692","680","1.06K","-0.58%"
"Nov 07, 2019","684","694","694","684","0.62K","-1.44%"
"Nov 06, 2019","694","694","694","688","0.62K","0.00%"
"Nov 05, 2019","694","688","694","682","0.57K","1.46%"
"Nov 04, 2019","684","690","696","684","1.02K","0.00%"
"Nov 01, 2019","684","680","696","680","0.42K","-0.29%"
"Oct 31, 2019","686","684","688","678","0.35K","1.48%"
"Oct 30, 2019","676","678","684","672","0.82K","-0.29%"
"Oct 29, 2019","678","678","684","668","0.77K","0.59%"
"Oct 28, 2019","674","668","678","668","0.35K","0.60%"
"Oct 25, 2019","670","674","674","664","0.46K","-0.59%"
"Oct 24, 2019","674","656","674","656","1.41K","2.74%"
"Oct 23, 2019","656","660","664","654","0.92K","0.31%"
"Oct 22, 2019","654","662","666","652","0.73K","-1.21%"
"Oct 21, 2019","662","654","662","654","0.52K","1.53%"
"Oct 18, 2019","652","660","662","650","1.19K","-0.91%"
"Oct 17, 2019","658","656","660","652","0.89K","0.30%"
"Oct 16, 2019","656","656","664","656","0.24K","-0.30%"
"Oct 15, 2019","658","650","658","650","0.52K","0.61%"
"Oct 14, 2019","654","650","658","650","0.80K","0.00%"
"Oct 11, 2019","654","656","658","650","0.71K","0.62%"
"Oct 10, 2019","650","660","664","650","1.01K","-2.40%"
"Oct 09, 2019","666","658","666","658","0.20K","1.52%"
"Oct 08, 2019","656","652","664","652","0.81K","0.31%"
"Oct 07, 2019","654","652","670","652","0.86K","0.31%"
"Oct 04, 2019","652","662","662","652","0.58K","-0.91%"
"Oct 03, 2019","658","656","664","654","0.44K","-0.30%"
"Oct 02, 2019","660","660","668","656","1.26K","-0.60%"
"Oct 01, 2019","664","666","676","664","0.59K","-0.60%"
"Sep 30, 2019","668","662","668","662","0.36K","0.91%"
"Sep 27, 2019","662","668","668","658","0.83K","-0.60%"
"Sep 26, 2019","666","668","674","666","0.65K","-0.60%"
"Sep 25, 2019","670","680","684","668","0.64K","-0.89%"
"Sep 24, 2019","676","684","684","674","0.60K","-1.17%"
"Sep 23, 2019","684","680","684","674","0.71K","0.59%"
"Sep 20, 2019","680","670","680","662","0.62K","2.10%"
"Sep 19, 2019","666","664","684","664","1.50K","-0.60%"
"Sep 18, 2019","670","668","676","668","0.82K","0.30%"
"Sep 17, 2019","668","672","674","650","1.15K","-0.60%"
