"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 30, 2019","82.05","81.80","82.55","81.60","445.61K","0.31%"
"Dec 27, 2019","81.80","79.80","81.80","79.80","558.54K","2.63%"
"Dec 24, 2019","79.70","79.15","79.75","79.00","173.57K","0.76%"
"Dec 23, 2019","79.10","79.00","79.30","78.20","530.24K","1.15%"
"Dec 20, 2019","78.20","81.15","82.00","77.30","1.62M","-2.55%"
"Dec 19, 2019","80.25","88.70","90.20","79.70","1.40M","-9.73%"
"Dec 18, 2019","88.90","88.75","89.05","88.40","113.93K","0.45%"
"Dec 17, 2019","88.50","88.10","89.05","87.35","165.41K","0.51%"
"Dec 16, 2019","88.05","85.25","88.80","85.10","209.64K","3.04%"
"Dec 13, 2019","85.45","83.50","85.45","82.05","405.88K","1.73%"
"Dec 12, 2019","84.00","85.00","85.00","83.35","143.40K","-0.24%"
"Dec 11, 2019","84.20","82.60","84.30","82.50","154.54K","1.57%"
"Dec 10, 2019","82.90","84.90","84.90","82.30","150.90K","-2.07%"
"Dec 09, 2019","84.65","86.15","86.75","83.65","222.94K","-2.14%"
"Dec 06, 2019","86.50","85.80","86.85","84.85","158.69K","1.76%"
"Dec 05, 2019","85.00","83.50","85.85","83.20","232.17K","2.16%"
"Dec 04, 2019","83.20","83.40","84.15","82.60","155.05K","0.48%"
"Dec 03, 2019","82.80","82.40","84.80","82.00","274.62K","0.98%"
"Dec 02, 2019","82.00","82.00","82.40","81.65","215.98K","0.49%"
"Nov 29, 2019","81.60","81.40","82.00","80.70","194.35K","-0.37%"
"Nov 28, 2019","81.90","81.90","82.20","81.30","103.11K","-0.06%"
"Nov 27, 2019","81.95","81.80","82.05","80.95","132.68K","0.55%"
"Nov 26, 2019","81.50","82.00","82.00","80.70","169.06K","-0.49%"
"Nov 25, 2019","81.90","82.70","82.85","81.90","172.47K","-0.79%"
"Nov 22, 2019","82.55","83.50","83.75","81.70","122.34K","-1.08%"
"Nov 21, 2019","83.45","82.65","83.60","82.10","246.57K","0.24%"
"Nov 20, 2019","83.25","83.55","84.60","82.50","392.08K","0.00%"
"Nov 19, 2019","83.25","80.20","83.25","79.95","463.78K","5.65%"
"Nov 18, 2019","78.80","78.30","79.05","78.05","195.19K","0.32%"
"Nov 15, 2019","78.55","78.70","79.15","77.85","271.32K","0.45%"
"Nov 14, 2019","78.20","78.05","80.25","77.15","498.91K","0.51%"
"Nov 13, 2019","77.80","75.05","78.35","74.50","445.82K","3.66%"
"Nov 12, 2019","75.05","75.45","75.65","74.15","315.88K","0.07%"
"Nov 11, 2019","75.00","73.20","75.70","72.95","305.63K","2.46%"
"Nov 08, 2019","73.20","72.45","73.65","72.45","151.84K","0.55%"
