"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 15, 2019","9.78","9.64","9.87","9.57","376.18K","1.98%"
"Oct 14, 2019","9.59","9.79","9.79","9.40","467.45K","-2.44%"
"Oct 11, 2019","9.83","9.29","9.90","9.25","1.63M","6.04%"
"Oct 10, 2019","9.27","9.42","9.55","9.22","393.90K","-1.59%"
"Oct 09, 2019","9.42","9.32","9.63","9.32","553.93K","-0.74%"
"Oct 08, 2019","9.49","9.37","9.57","9.18","854.79K","-0.42%"
"Oct 07, 2019","9.53","8.62","9.59","8.62","1.80M","10.56%"
"Oct 04, 2019","8.62","8.69","8.78","8.52","333.78K","-0.81%"
"Oct 03, 2019","8.69","8.66","8.88","8.60","349.21K","0.00%"
"Oct 02, 2019","8.69","8.68","8.76","8.53","273.01K","-0.34%"
"Oct 01, 2019","8.72","8.77","8.88","8.70","312.78K","-0.57%"
"Sep 30, 2019","8.77","8.77","8.88","8.74","211.58K","0.23%"
"Sep 27, 2019","8.75","8.77","8.84","8.68","305.59K","0.00%"
"Sep 26, 2019","8.75","8.82","8.86","8.63","422.26K","-0.91%"
"Sep 25, 2019","8.83","8.88","8.95","8.59","704.54K","0.57%"
"Sep 24, 2019","8.78","8.90","8.99","8.65","747.62K","-1.13%"
"Sep 23, 2019","8.88","9.44","9.46","8.82","1.66M","-5.03%"
"Sep 20, 2019","9.35","9.24","9.48","9.20","485.51K","1.96%"
"Sep 19, 2019","9.17","9.15","9.36","9.10","450.59K","0.55%"
"Sep 18, 2019","9.12","9.15","9.25","9.01","276.58K","-0.22%"
"Sep 17, 2019","9.14","9.36","9.36","8.90","965.55K","-2.87%"
"Sep 16, 2019","9.41","9.43","9.46","9.25","458.60K","-1.98%"
"Sep 13, 2019","9.60","9.28","9.74","9.28","861.96K","3.34%"
"Sep 12, 2019","9.29","9.45","9.54","9.13","308.93K","-1.28%"
"Sep 11, 2019","9.41","9.53","9.65","9.40","533.95K","-1.16%"
"Sep 10, 2019","9.52","8.95","9.60","8.90","807.60K","5.31%"
"Sep 09, 2019","9.04","8.90","9.09","8.76","403.05K","0.78%"
"Sep 06, 2019","8.97","8.90","9.03","8.72","677.38K","0.79%"
"Sep 05, 2019","8.90","8.84","9.03","8.84","459.22K","0.00%"
"Sep 04, 2019","8.90","9.01","9.04","8.77","457.90K","1.48%"
"Sep 03, 2019","8.77","9.20","9.20","8.75","556.94K","-4.67%"
"Sep 02, 2019","9.20","9.28","9.49","9.15","480.29K","-0.97%"
"Aug 30, 2019","9.29","9.29","9.58","9.06","457.35K","0.00%"
"Aug 29, 2019","9.29","9.10","9.29","8.93","600.46K","3.45%"
"Aug 28, 2019","8.98","8.61","9.17","8.49","1.13M","4.18%"
"Aug 27, 2019","8.62","9.01","9.01","8.17","1.68M","-1.49%"
"Aug 26, 2019","8.75","8.51","8.75","8.38","230.71K","1.51%"
"Aug 23, 2019","8.62","8.79","8.81","8.54","358.02K","-0.12%"
"Aug 22, 2019","8.63","8.64","8.76","8.48","460.35K","-0.12%"
"Aug 21, 2019","8.64","8.79","8.79","8.53","370.51K","1.41%"
"Aug 20, 2019","8.52","8.85","8.85","8.30","836.28K","-1.50%"
"Aug 19, 2019","8.65","8.84","8.96","8.60","319.83K","-0.46%"
"Aug 16, 2019","8.69","8.57","8.72","8.51","356.06K","1.52%"
"Aug 15, 2019","8.56","8.70","8.74","8.32","736.87K","-1.83%"
