"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 05, 2020","11.20","12.00","12.14","11.18","4.48M","-5.64%"
"Mar 04, 2020","11.87","11.96","11.98","11.67","3.96M","-0.08%"
"Mar 03, 2020","11.88","11.97","12.14","11.71","4.10M","3.04%"
"Mar 02, 2020","11.53","12.38","12.52","11.45","7.51M","-5.95%"
"Feb 28, 2020","12.26","11.80","12.60","11.70","6.31M","-0.57%"
"Feb 27, 2020","12.33","12.28","12.55","11.73","6.67M","-2.53%"
"Feb 26, 2020","12.65","12.64","12.79","12.10","6.14M","-1.79%"
"Feb 25, 2020","12.88","13.54","13.56","12.82","9.44M","-2.35%"
"Feb 24, 2020","13.19","14.10","14.29","13.12","7.63M","-13.79%"
"Feb 21, 2020","15.30","15.30","15.36","15.07","1.66M","0.00%"
"Feb 20, 2020","15.30","15.12","15.53","15.12","1.72M","-0.97%"
"Feb 19, 2020","15.45","15.32","15.48","15.21","1.02M","0.98%"
"Feb 18, 2020","15.30","15.25","15.41","15.13","2.09M","-0.26%"
"Feb 17, 2020","15.34","15.60","15.66","15.32","1.12M","-1.22%"
"Feb 14, 2020","15.53","15.56","15.84","15.51","9.07M","-0.64%"
"Feb 13, 2020","15.63","15.39","15.90","15.39","1.48M","-0.82%"
"Feb 12, 2020","15.76","15.77","15.82","15.64","2.14M","-0.57%"
"Feb 11, 2020","15.85","15.53","15.85","15.47","1.22M","3.12%"
"Feb 10, 2020","15.37","15.35","15.59","15.29","1.43M","-2.04%"
"Feb 07, 2020","15.69","15.86","15.87","15.63","2.14M","-1.75%"
"Feb 06, 2020","15.97","16.02","16.24","15.75","1.70M","-0.50%"
"Feb 05, 2020","16.05","15.82","16.45","15.74","3.68M","0.19%"
"Feb 04, 2020","16.02","15.82","16.02","15.62","2.64M","1.07%"
"Feb 03, 2020","15.85","15.30","16.04","15.30","4.28M","6.66%"
"Jan 31, 2020","14.86","14.96","15.26","14.74","9.48M","0.13%"
"Jan 30, 2020","14.84","14.80","15.10","14.74","3.20M","-1.98%"
"Jan 29, 2020","15.14","15.06","15.15","14.79","2.93M","1.68%"
"Jan 28, 2020","14.89","14.80","14.89","14.46","2.40M","1.29%"
"Jan 27, 2020","14.70","14.98","14.98","14.29","2.24M","-3.16%"
"Jan 24, 2020","15.18","15.32","15.58","15.12","1.81M","0.13%"
"Jan 23, 2020","15.16","15.65","15.66","15.12","1.75M","-2.82%"
"Jan 22, 2020","15.60","15.50","15.67","15.40","2.07M","0.71%"
"Jan 21, 2020","15.49","15.70","15.82","15.41","2.26M","-0.26%"
"Jan 20, 2020","15.53","15.59","15.71","15.36","1.27M","-0.96%"
"Jan 17, 2020","15.68","15.71","15.99","15.62","1.91M","-0.25%"
"Jan 16, 2020","15.72","15.56","15.77","15.50","1.44M","0.83%"
"Jan 15, 2020","15.59","15.71","15.86","15.53","2.39M","-1.83%"
"Jan 14, 2020","15.88","16.03","16.03","15.79","1.54M","0.13%"
"Jan 13, 2020","15.86","16.13","16.27","15.86","1.53M","-1.49%"
"Jan 10, 2020","16.10","16.50","16.97","16.01","6.96M","5.71%"
"Jan 09, 2020","15.23","14.91","15.23","14.87","1.82M","2.56%"
"Jan 08, 2020","14.85","14.60","14.86","14.58","1.83M","0.00%"
"Jan 07, 2020","14.85","14.55","14.90","14.55","3.13M","2.27%"
"Jan 06, 2020","14.52","14.60","14.70","14.01","3.14M","-1.76%"
"Jan 03, 2020","14.78","14.55","14.87","14.45","2.69M","-0.94%"
"Jan 02, 2020","14.93","14.58","14.93","14.52","1.64M","2.02%"
"Dec 31, 2019","14.63","14.44","14.64","13.63","267.87K","0.72%"
"Dec 30, 2019","14.52","14.57","14.77","14.43","8.86M","-0.07%"
"Dec 27, 2019","14.53","14.48","14.62","14.46","657.90K","0.17%"
"Dec 24, 2019","14.51","14.52","14.57","14.41","139.88K","0.42%"
"Dec 23, 2019","14.45","14.53","14.68","14.44","1.45M","-1.10%"
"Dec 20, 2019","14.61","14.54","14.71","14.50","1.13M","0.07%"
"Dec 19, 2019","14.60","14.43","14.61","14.39","1.10M","0.34%"
"Dec 18, 2019","14.55","14.32","14.55","14.20","3.54M","2.11%"
"Dec 17, 2019","14.25","14.44","14.53","13.93","1.83M","-1.99%"
"Dec 16, 2019","14.54","14.33","14.55","13.75","1.70M","0.83%"
"Dec 13, 2019","14.42","14.49","14.98","14.20","4.42M","3.52%"
"Dec 12, 2019","13.93","14.22","14.34","13.88","1.72M","-0.36%"
"Dec 11, 2019","13.98","13.94","14.25","13.82","1.57M","-0.14%"
"Dec 10, 2019","14.00","14.05","14.14","13.88","2.20M","-0.64%"
"Dec 09, 2019","14.09","14.12","14.27","14.06","3.34M","-1.05%"
"Dec 06, 2019","14.24","14.01","14.34","13.94","4.93M","1.50%"
"Dec 05, 2019","14.03","13.92","14.03","13.77","1.59M","1.30%"
"Dec 04, 2019","13.85","13.53","13.94","13.33","2.24M","1.76%"
"Dec 03, 2019","13.61","13.68","13.98","13.56","1.13M","-0.40%"
