"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 14, 2020","181.37","180.92","182.54","180.21","2.91M","0.25%"
"Jan 13, 2020","180.92","180.94","182.23","180.36","2.09M","0.25%"
"Jan 10, 2020","180.47","181.61","182.18","180.14","2.10M","-0.40%"
"Jan 09, 2020","181.20","181.51","181.59","179.76","2.75M","0.32%"
"Jan 08, 2020","180.63","178.00","181.50","177.65","2.76M","1.53%"
"Jan 07, 2020","177.90","178.28","178.51","176.82","2.18M","-0.40%"
"Jan 06, 2020","178.62","177.15","178.71","176.35","2.00M","0.10%"
"Jan 03, 2020","178.45","177.02","178.66","175.63","2.47M","-0.86%"
"Jan 02, 2020","180.00","177.68","180.01","177.14","3.45M","2.03%"
"Dec 31, 2019","176.42","175.23","176.59","175.07","1.57M","0.34%"
"Dec 30, 2019","175.83","177.26","178.96","175.59","1.72M","-0.81%"
"Dec 27, 2019","177.26","176.65","177.54","175.62","1.47M","0.38%"
"Dec 26, 2019","176.59","176.45","176.66","175.50","1.44M","-0.05%"
"Dec 24, 2019","176.68","178.27","178.67","176.04","1.26M","-1.00%"
"Dec 23, 2019","178.47","176.71","179.18","176.56","4.88M","1.77%"
"Dec 20, 2019","175.37","174.79","175.47","172.20","7.51M","1.87%"
"Dec 19, 2019","172.15","169.62","172.58","169.15","2.76M","1.85%"
"Dec 18, 2019","169.03","169.78","170.00","168.19","2.27M","-0.53%"
"Dec 17, 2019","169.93","170.35","171.79","169.21","2.67M","-0.48%"
"Dec 16, 2019","170.75","168.94","170.83","168.19","2.92M","1.16%"
"Dec 13, 2019","168.79","169.62","171.12","168.08","2.10M","0.14%"
"Dec 12, 2019","168.56","166.73","170.85","166.32","2.87M","-0.11%"
"Dec 11, 2019","168.74","168.38","168.84","167.33","1.86M","0.64%"
"Dec 10, 2019","167.66","169.13","169.39","166.97","2.67M","-1.28%"
"Dec 09, 2019","169.83","169.40","171.26","168.79","2.09M","-0.96%"
"Dec 06, 2019","171.47","167.25","171.99","167.25","3.88M","4.32%"
"Dec 05, 2019","164.37","167.22","167.87","162.72","3.31M","-1.66%"
"Dec 04, 2019","167.14","166.42","168.87","166.00","2.14M","1.19%"
"Dec 03, 2019","165.17","166.50","166.60","164.40","2.73M","-1.84%"
"Dec 02, 2019","168.27","170.16","171.70","168.24","2.34M","-0.88%"
"Nov 29, 2019","169.77","170.43","170.58","169.26","942.52K","-0.49%"
"Nov 27, 2019","170.61","170.00","171.37","169.51","1.33M","0.82%"
"Nov 26, 2019","169.23","169.80","170.25","168.71","2.61M","-0.59%"
"Nov 25, 2019","170.24","168.47","170.35","167.87","2.76M","1.58%"
"Nov 22, 2019","167.60","165.50","167.75","165.00","3.27M","1.49%"
"Nov 21, 2019","165.14","166.88","167.00","164.51","3.61M","-1.57%"
"Nov 20, 2019","167.77","169.79","170.00","167.15","2.69M","-1.70%"
"Nov 19, 2019","170.68","171.72","171.72","169.53","1.79M","0.08%"
"Nov 18, 2019","170.54","170.79","171.19","169.17","2.36M","-0.78%"
"Nov 15, 2019","171.88","171.66","172.69","171.04","2.62M","0.56%"
"Nov 14, 2019","170.93","169.98","172.32","169.93","1.61M","0.22%"
"Nov 13, 2019","170.55","170.11","171.39","169.58","1.83M","-0.17%"
"Nov 12, 2019","170.84","170.36","172.07","170.03","1.74M","0.43%"
"Nov 11, 2019","170.11","172.50","172.50","169.65","2.66M","-1.76%"
"Nov 08, 2019","173.15","174.58","174.87","172.11","1.62M","-0.79%"
"Nov 07, 2019","174.52","175.73","176.71","173.79","3.36M","0.30%"
"Nov 06, 2019","174.00","174.91","175.00","172.36","3.01M","-0.72%"
"Nov 05, 2019","175.27","175.00","175.46","173.77","2.30M","0.21%"
"Nov 04, 2019","174.90","171.62","175.00","171.62","4.14M","2.83%"
"Nov 01, 2019","170.09","166.94","170.15","166.72","2.47M","3.09%"
"Oct 31, 2019","164.99","168.51","168.56","163.55","2.65M","-2.01%"
"Oct 30, 2019","168.37","168.23","168.57","167.03","1.78M","-0.26%"
"Oct 29, 2019","168.81","168.03","169.95","167.51","2.67M","-0.15%"
"Oct 28, 2019","169.06","166.48","169.71","166.20","3.14M","1.79%"
"Oct 25, 2019","166.09","162.51","167.63","162.13","3.10M","2.59%"
"Oct 24, 2019","161.89","165.16","165.25","159.63","5.96M","-4.07%"
"Oct 23, 2019","168.76","167.41","168.76","166.56","2.72M","0.73%"
"Oct 22, 2019","167.54","166.27","168.91","165.10","2.09M","0.96%"
"Oct 21, 2019","165.94","165.47","166.15","164.76","2.01M","1.74%"
"Oct 18, 2019","163.10","163.56","164.27","162.98","2.69M","-0.27%"
"Oct 17, 2019","163.54","163.14","165.49","163.08","1.98M","0.84%"
"Oct 16, 2019","162.18","163.10","164.20","162.12","1.95M","-0.49%"
"Oct 15, 2019","162.98","159.35","164.02","159.35","3.10M","1.54%"
"Oct 14, 2019","160.51","158.04","162.39","157.34","3.28M","1.52%"
"Oct 11, 2019","158.10","154.13","159.60","154.11","4.69M","3.80%"
"Oct 10, 2019","152.31","150.95","153.09","150.87","3.20M","0.87%"
"Oct 09, 2019","150.99","152.34","152.44","150.79","3.43M","0.17%"
"Oct 08, 2019","150.74","152.33","152.80","150.58","2.82M","-1.81%"
"Oct 07, 2019","153.52","155.00","155.35","153.52","2.52M","-1.48%"
"Oct 04, 2019","155.82","155.23","156.05","154.40","2.65M","0.38%"
"Oct 03, 2019","155.23","155.14","155.46","150.81","3.09M","-0.27%"
"Oct 02, 2019","155.65","157.06","157.22","154.63","3.05M","-1.72%"
"Oct 01, 2019","158.38","165.00","165.21","158.17","3.28M","-3.66%"
"Sep 30, 2019","164.40","165.21","165.56","163.94","2.57M","-0.08%"
"Sep 27, 2019","164.53","164.48","165.64","163.52","2.87M","0.43%"
"Sep 26, 2019","163.83","164.00","164.41","162.80","2.78M","-0.10%"
"Sep 25, 2019","164.00","164.76","164.98","163.69","2.79M","-0.45%"
"Sep 24, 2019","164.74","167.05","167.55","164.16","3.05M","-1.21%"
"Sep 23, 2019","166.76","165.49","167.43","164.50","2.11M","0.00%"
"Sep 20, 2019","166.76","167.43","169.17","166.48","3.71M","-0.19%"
"Sep 19, 2019","167.07","167.39","168.81","166.91","1.63M","-0.22%"
"Sep 18, 2019","167.44","167.61","168.05","165.25","2.19M","-0.37%"
"Sep 17, 2019","168.07","167.76","168.57","166.50","2.74M","-0.94%"
"Sep 16, 2019","169.67","171.21","171.21","167.91","2.46M","-1.03%"
"Sep 13, 2019","171.44","170.59","172.48","169.86","2.53M","0.50%"
"Sep 12, 2019","170.58","169.62","171.85","168.61","2.87M","1.49%"
"Sep 11, 2019","168.08","169.86","169.89","165.37","3.58M","-0.46%"
"Sep 10, 2019","168.86","166.16","169.10","166.01","3.24M","1.76%"
"Sep 09, 2019","165.94","165.00","167.85","164.69","3.09M","1.22%"
"Sep 06, 2019","163.94","164.64","164.88","162.95","1.76M","-0.18%"
"Sep 05, 2019","164.23","162.50","166.41","162.39","2.42M","2.60%"
"Sep 04, 2019","160.07","159.83","160.63","158.99","1.52M","0.90%"
"Sep 03, 2019","158.64","161.40","161.63","157.26","1.84M","-1.90%"
"Aug 30, 2019","161.72","161.57","162.15","160.41","1.97M","0.85%"
"Aug 29, 2019","160.36","159.30","161.03","159.05","3.17M","1.78%"
"Aug 28, 2019","157.55","155.10","157.78","154.00","2.35M","1.16%"
"Aug 27, 2019","155.75","157.33","157.48","155.40","2.28M","-0.24%"
"Aug 26, 2019","156.12","157.01","157.47","155.08","2.22M","0.17%"
"Aug 23, 2019","155.85","160.08","160.35","155.27","4.22M","-3.13%"
"Aug 22, 2019","160.88","162.00","162.93","160.15","1.44M","-0.17%"
"Aug 21, 2019","161.15","162.69","163.65","161.05","1.62M","0.09%"
"Aug 20, 2019","161.01","163.11","163.11","160.96","2.06M","-1.19%"
