"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 24, 2019","5,940.6","5,980.0","6,001.2","5,910.4","-","-0.40%"
"Jun 21, 2019","5,964.6","5,938.6","5,982.1","5,925.1","-","0.13%"
"Jun 20, 2019","5,957.1","5,968.8","5,980.8","5,942.1","-","0.90%"
"Jun 19, 2019","5,903.9","5,899.6","5,903.9","5,899.6","-","-0.21%"
"Jun 18, 2019","5,916.4","5,914.6","5,956.1","5,887.6","-","0.87%"
"Jun 14, 2019","5,865.1","5,911.8","5,933.6","5,843.2","-","-0.92%"
"Jun 13, 2019","5,919.8","5,900.4","5,956.1","5,900.4","-","0.05%"
"Jun 12, 2019","5,917.1","5,888.9","5,929.1","5,878.1","-","-0.18%"
"Jun 11, 2019","5,927.6","5,897.9","5,947.9","5,897.7","-","0.65%"
"Jun 10, 2019","5,889.4","5,874.1","5,915.4","5,859.4","-","0.62%"
"Jun 07, 2019","5,852.9","5,765.6","5,868.6","5,762.1","-","1.97%"
"Jun 06, 2019","5,739.9","5,726.6","5,762.9","5,720.4","-","0.03%"
"Jun 05, 2019","5,737.9","5,697.1","5,768.1","5,694.9","-","1.12%"
"Jun 04, 2019","5,674.6","5,602.4","5,686.9","5,586.6","-","0.44%"
"Jun 03, 2019","5,649.6","5,591.5","5,649.9","5,588.6","-","1.33%"
"May 31, 2019","5,575.2","5,573.9","5,579.1","5,527.4","-","-0.32%"
"May 30, 2019","5,593.1","5,525.8","5,597.9","5,516.1","-","1.49%"
"May 29, 2019","5,510.8","5,426.4","5,524.1","5,424.2","-","1.13%"
"May 28, 2019","5,449.1","5,474.9","5,492.4","5,439.1","-","-0.22%"
"May 27, 2019","5,461.1","5,467.9","5,483.1","5,439.9","-","0.21%"
"May 24, 2019","5,449.9","5,450.3","5,488.9","5,434.1","-","0.21%"
"May 23, 2019","5,438.4","5,448.0","5,484.5","5,413.9","-","-1.79%"
"May 22, 2019","5,537.8","5,546.6","5,577.9","5,530.9","-","-0.45%"
"May 21, 2019","5,563.1","5,596.9","5,610.6","5,553.9","-","-0.21%"
"May 20, 2019","5,574.9","5,598.6","5,616.6","5,557.8","-","-1.18%"
"May 17, 2019","5,641.2","5,627.6","5,648.0","5,599.4","-","-0.70%"
