"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","49,244.55","49,610.14","49,610.14","49,069.29","123.16M","-0.74%"
"Oct 22, 2019","49,610.14","49,834.61","49,974.75","49,541.24","137.83M","-0.45%"
"Oct 21, 2019","49,834.61","49,510.90","50,020.46","49,398.82","100.78M","0.65%"
"Oct 18, 2019","49,510.90","49,715.30","49,846.29","49,432.24","145.09M","-0.41%"
"Oct 17, 2019","49,715.30","49,855.06","50,323.40","49,659.77","167.48M","-0.28%"
"Oct 16, 2019","49,855.06","49,391.20","49,894.98","49,178.96","147.10M","0.94%"
"Oct 15, 2019","49,391.20","49,110.74","49,507.63","49,094.58","94.59M","0.57%"
"Oct 14, 2019","49,110.74","49,404.06","49,560.58","48,855.55","102.96M","-0.59%"
"Oct 11, 2019","49,404.06","49,032.54","49,639.38","49,032.54","139.50M","0.76%"
"Oct 10, 2019","49,032.54","48,310.69","49,102.09","48,271.40","139.56M","1.49%"
"Oct 09, 2019","48,310.69","48,465.32","48,491.78","48,135.32","123.03M","-0.32%"
"Oct 08, 2019","48,465.32","48,635.63","48,724.50","48,387.35","138.76M","-0.35%"
"Oct 07, 2019","48,635.63","47,975.44","48,705.69","47,917.01","123.94M","1.38%"
"Oct 04, 2019","47,975.44","47,743.89","48,111.18","47,679.25","157.94M","0.48%"
"Oct 03, 2019","47,743.89","48,005.41","48,050.10","47,535.65","146.80M","-0.54%"
"Oct 02, 2019","48,005.41","48,938.16","48,973.10","47,925.54","174.18M","-1.91%"
"Oct 01, 2019","48,938.16","48,813.59","49,094.39","48,662.68","131.28M","0.26%"
"Sep 30, 2019","48,813.59","49,167.52","49,237.04","48,593.96","140.15M","-0.72%"
"Sep 27, 2019","49,167.52","49,243.65","49,440.11","49,014.01","104.93M","-0.15%"
"Sep 26, 2019","49,243.65","48,865.06","49,588.11","48,830.95","123.78M","0.77%"
"Sep 25, 2019","48,865.06","49,559.37","49,559.37","48,569.44","181.63M","-1.40%"
"Sep 23, 2019","49,559.37","50,341.64","50,378.54","49,292.95","139.68M","-1.55%"
"Sep 20, 2019","50,341.64","50,077.78","50,501.69","50,062.29","329.43M","0.53%"
"Sep 19, 2019","50,077.78","50,134.23","50,189.49","49,701.41","384.50M","-0.11%"
"Sep 18, 2019","50,134.23","50,873.91","50,876.67","49,958.41","128.81M","-1.45%"
"Sep 17, 2019","50,873.91","51,801.53","51,801.53","50,873.91","157.24M","-1.79%"
"Sep 16, 2019","51,801.53","51,145.56","51,811.65","51,024.65","218.56M","1.28%"
"Sep 13, 2019","51,145.56","50,768.84","51,416.60","50,701.31","130.05M","0.74%"
